1.7;1;1;0.75;0.5;1.25;2.0375;1.575;3.2875;5.75;3.5;0.75;1.425;2.95;3.475;2.8;1.6;1;1.25;1.27;0.79;0.77;1;0.75;0.75;1;1.65;1.9;1.825;1.825;1.25;1;1;1;1.725;2.35;1.9;1.025;0.75;1;0.5;0
1.56;1.06;1.02;0.75;0.5;0.75;1.325;1.65;1.575;1.75;2;1.75;1.25;1;1.025;1.05;0.775;0.5;0.75;1;1.375;1.145;0.77;1;1;0.75;1.0375;1;1.65;3;1.575;1.25;1;1.25;1.33;1.25;1.825;1.625;1.025;0.75;1.3;0.75
1;1;1;0.75;0.25;0.25;0.75;1;1;1.5;2;1.5;1;1;1;1;1;1;0.75;0.5;1.3;1.3;1.825;1;1;0.7625;0.75;0.75;1.325;1.75;1.3625;1.5;3;1.375;0.875;1.075;2.405;2.225;1.875;0.5;1;0.75
1;1;1;1;1;1;1;1;1;1.2;1.4;1.2;1;1;1;1;1;1;1.525;1.525;1;2;1.8;1.02;0.77;1;1;0.5;1.0375;1.5;1.3625;2.95;3.5;1.5;1;1;1.675;1.6;1.625;0.75;0.5;0.75
1.625;2.75;2.375;0.875;0.5;0.875;1;1;1;1;1.25;1.76875;1.80625;1.30625;1.14375;1.25;0.875;0.5;1.35;1.6;1.525;1;1.875;1.52;0.52;0.875;1;0.5;0.75;1;1.65;1.25;1.825;2.01875;1.01875;1;1.125;1;1.475;1.975;1.5875;0.6375
3.075;2.1;1.2625;1;1;1;1.1;1.3;1.3;1.1;1;1.1625;1.4875;1.6125;1.6625;1.625;1;0.5;0.525;0.525;1.35;1.325;1.2625;1;1.7;1;1;0.75;0.85;0.85;1;1.5;1.0375;1.8625;3.4125;1.375;1;1;1.425;1.9375;2.2625;0.8
3.1375;2.2;1.3;1.0125;1.0375;1.1;1.35;1.7625;1.8875;1.525;1.125;1;1;1;1.25;1.875;2.125;1.625;0.875;0.5;0.775;1.9625;1.05;1.75;2.125;1.5325;0.7825;0.9375;1.2125;1.025;1.125;1;1.325;1.2;1.5;1.51875;1.51875;1.375;1.25;1;1.025;1.4625
1.0375;1.0375;1.0125;1.0025;1.07;1.345;1.85875;2.34625;2.40125;1.93875;1.365;1.0625;1;1;1.1;1.3;1.55;1.975;1.75;1.25;0.75;1.6125;2.2;1.575;1.8875;1.5025;0.815;1.0875;1.36875;1.14625;1.09;1.1625;1;1;1.25;1.93125;1.28125;1.225;1.625;1;0.875;2.025
1;1;1;1;1;1.125;1.54;1.995;2.045;1.69;1.15;0.675;0.625;0.875;1;1;1.1;1.3;1.575;2;0.875;1.4625;2.2375;2.175;1.5625;1;1;1.1375;1.3025;1.3525;1.4875;1.425;1;0.875;1;1.3625;1.1625;1.125;1.6;1.38125;0.875;1.3375
1.00625;1;1;1;1;1.0625;1.25;1.4125;1.3775;1.22;0.9575;0.515;0.25;0.5;0.9375;1.1875;1.1875;1.0625;1.35;1.55;1.125;0.75;0.775;1.975;1.3125;1;1.625;1.5775;0.9525;1.25;1.63375;1.68625;1.24;0.8125;0.875;1;1.3125;1.33125;1.36875;1.475;1.5;1
